Timestamp,Origin,Grad,Parent,Neighbor_Addr,RSSI
2026-03-10 11:56:35,0005,1,0002,0002,-60
2026-03-10 11:56:35,0005,1,0002,0004,-44
2026-03-10 11:56:35,0005,1,0002,0003,-52
2026-03-10 11:56:35,0005,1,0002,0006,-41
2026-03-10 11:56:35,0005,1,0002,0008,-51
2026-03-10 11:56:35,0005,1,0002,0007,-55
2026-03-10 11:56:35,0005,1,0002,0009,-60
2026-03-10 11:56:35,0003,1,0002,0002,-58
2026-03-10 11:56:35,0003,1,0002,0005,-45
2026-03-10 11:56:35,0003,1,0002,0004,-52
2026-03-10 11:56:35,0003,1,0002,0006,-43
2026-03-10 11:56:35,0003,1,0002,0007,-56
2026-03-10 11:56:35,0003,1,0002,0009,-61
2026-03-10 11:56:35,0003,1,0002,0008,-62
2026-03-10 11:57:05,0009,2,0005,0005,-56
2026-03-10 11:57:05,0009,2,0005,0003,-59
2026-03-10 11:57:05,0009,2,0005,0008,-41
